PLAYER_NAME,SEASON_ID,SALARY_REAL,GS,PLAYER_AGE,FG_PCT,FG3A,REB/MIN,AST/MIN,PTS/MIN
A.C. Green,1991,3473015.0,21.0,27.0,0.476,55.0,0.23833718244803695,0.03279445727482679,0.3464203233256351
A.C. Green,1992,3317240.0,53.0,28.0,0.476,56.0,0.26248708232862555,0.04030313468825353,0.3844299001033414
A.C. Green,1993,3217865.0,55.0,29.0,0.537,46.0,0.2521276595744681,0.04113475177304964,0.3726950354609929
A.C. Green,1994,3365286.0,55.0,30.0,0.502,35.0,0.2664543524416136,0.04847841472045294,0.42604387827317763
A.C. Green,1995,11274438.0,52.0,31.0,0.504,127.0,0.24888392857142858,0.04724702380952381,0.34077380952380953
A.C. Green,1996,10942426.0,36.0,32.0,0.484,52.0,0.2620624408703879,0.03405865657521287,0.28949858088930935
A.C. Green,1997,7980684.0,19.0,33.0,0.477,3.0,0.25,0.030797101449275364,0.27717391304347827
A.C. Green,1997,7980684.0,73.0,33.0,0.483,20.0,0.2629258517034068,0.027655310621242483,0.23927855711422846
A.C. Green,1998,8194001.0,68.0,34.0,0.453,4.0,0.25207547169811323,0.04641509433962264,0.22641509433962265
A.C. Green,1999,8105719.0,35.0,35.0,0.422,8.0,0.2464864864864865,0.02702702702702703,0.26594594594594595
A.C. Green,2000,2636912.0,82.0,36.0,0.447,4.0,0.25181347150259065,0.04145077720207254,0.21398963730569948
A.C. Green,2001,3364520.0,1.0,37.0,0.444,6.0,0.22151450813871196,0.027600849256900213,0.2597310686482661
A.J. Bramlett,2000,184543.0,0.0,23.0,0.19,0.0,0.3548387096774194,0.0,0.12903225806451613
A.J. English,1991,545759.0,12.0,23.0,0.439,31.0,0.1018005540166205,0.12257617728531855,0.4265927977839335
A.J. English,1992,616059.0,6.0,24.0,0.433,34.0,0.10084033613445378,0.0858343337334934,0.531812725090036
A.J. Wynder,1991,59537.0,0.0,26.0,0.25,1.0,0.075,0.2,0.3
AJ Hammons,2017,695251.0,0.0,24.0,0.405,10.0,0.21951219512195122,0.024390243902439025,0.2926829268292683
AJ Price,2010,546910.0,2.0,23.0,0.41,174.0,0.10161662817551963,0.12240184757505773,0.47344110854503463
AJ Price,2011,901482.0,0.0,24.0,0.356,149.0,0.09045226130653267,0.13944723618090452,0.4057788944723618
AJ Price,2012,975797.0,1.0,25.0,0.339,88.0,0.10720562390158173,0.15114235500878734,0.3022847100175747
AJ Price,2013,994349.0,22.0,26.0,0.39,200.0,0.08913213448006255,0.1602814698983581,0.344800625488663
AJ Price,2014,1046524.0,0.0,27.0,0.413,22.0,0.1,0.13,0.44
AJ Price,2015,534230.0,0.0,28.0,0.438,39.0,0.07216494845360824,0.13917525773195877,0.5412371134020618
AJ Price,2015,534230.0,0.0,28.0,0.372,57.0,0.09846153846153846,0.14153846153846153,0.40923076923076923
Aaron Brooks,2008,1203560.0,0.0,23.0,0.413,109.0,0.09195402298850575,0.14285714285714285,0.43349753694581283
Aaron Brooks,2009,1231827.0,35.0,24.0,0.404,309.0,0.0785392696348174,0.11905952976488245,0.447223611805903
Aaron Brooks,2010,1336858.0,82.0,25.0,0.432,525.0,0.07363013698630137,0.14863013698630137,0.5493150684931507
Aaron Brooks,2011,2385232.0,7.0,26.0,0.346,169.0,0.06280788177339902,0.15886699507389163,0.4852216748768473
Aaron Brooks,2011,2385232.0,12.0,26.0,0.375,236.0,0.060700389105058365,0.18132295719844357,0.4933852140077821
Aaron Brooks,2013,6459585.0,20.0,28.0,0.459,127.0,0.08125,0.1125,0.38125
Aaron Brooks,2013,6459585.0,20.0,28.0,0.453,134.0,0.08016032064128256,0.11422845691382766,0.37675350701402804
Aaron Brooks,2014,1134313.0,0.0,29.0,0.395,132.0,0.08647140864714087,0.11576011157601115,0.41701534170153415
Aaron Brooks,2014,1134313.0,12.0,29.0,0.401,248.0,0.08985879332477535,0.1495507060333761,0.413992297817715
Aaron Brooks,2015,989946.0,21.0,30.0,0.421,313.0,0.088016967126193,0.1383881230116649,0.5058324496288441
Aaron Brooks,2016,2430640.0,0.0,31.0,0.401,185.0,0.09107303877366997,0.1623083859332732,0.44274120829576197
Aaron Brooks,2017,2887966.0,0.0,32.0,0.403,128.0,0.07709497206703911,0.13966480446927373,0.35977653631284917
Aaron Brooks,2018,2227938.0,1.0,33.0,0.406,31.0,0.08947368421052632,0.10526315789473684,0.39473684210526316
Aaron Gordon,2015,4317877.0,8.0,19.0,0.447,48.0,0.21177944862155387,0.041353383458646614,0.30451127819548873
Aaron Gordon,2016,4506602.0,37.0,20.0,0.473,142.0,0.2719957081545064,0.06866952789699571,0.3857296137339056
Aaron Gordon,2017,4654246.0,72.0,21.0,0.454,267.0,0.176163549369291,0.06524575902566333,0.4432361896476729
Aaron Gordon,2018,5792993.0,57.0,22.0,0.434,342.0,0.23926701570680628,0.0712041884816754,0.5350785340314136
Aaron Gordon,2019,22088549.0,78.0,23.0,0.449,347.0,0.21791951404707668,0.10971905846621109,0.4730447987851177
Aaron Gordon,2020,19991902.0,62.0,24.0,0.437,237.0,0.23538156590683845,0.11298315163528246,0.44301288404360756
Aaron Gordon,2021,18136364.0,25.0,25.0,0.437,112.0,0.22523744911804613,0.14246947082767977,0.49389416553595655
Aaron Gordon,2021,18136364.0,50.0,25.0,0.463,176.0,0.20505415162454874,0.11624548736462094,0.44620938628158846
Aaron Gray,2008,528535.0,1.0,23.0,0.505,1.0,0.2736156351791531,0.06677524429967427,0.42671009771986973
Aaron Gray,2009,838274.0,18.0,24.0,0.485,1.0,0.30726256983240224,0.06424581005586592,0.2737430167597765
Aaron Gray,2010,1195797.0,0.0,25.0,0.381,0.0,0.3137254901960784,0.0392156862745098,0.35294117647058826
Aaron Gray,2010,1195797.0,0.0,25.0,0.512,0.0,0.33974358974358976,0.07051282051282051,0.3333333333333333
Aaron Gray,2011,1216855.0,6.0,26.0,0.566,0.0,0.32142857142857145,0.03007518796992481,0.2424812030075188
Aaron Gray,2012,2855248.0,40.0,27.0,0.516,0.0,0.3452088452088452,0.033169533169533166,0.23464373464373464
Aaron Gray,2014,2884296.0,0.0,29.0,0.667,0.0,0.38095238095238093,0.14285714285714285,0.23809523809523808
Aaron Gray,2014,2884296.0,6.0,29.0,0.443,1.0,0.3126760563380282,0.061971830985915494,0.18309859154929578
Aaron Harrison,2016,567249.0,0.0,21.0,0.263,10.0,0.1595744680851064,0.02127659574468085,0.19148936170212766
Aaron Harrison,2017,390719.0,0.0,22.0,0.0,2.0,0.16666666666666666,0.16666666666666666,0.05555555555555555
Aaron Harrison,2018,183721.0,3.0,23.0,0.275,43.0,0.10256410256410256,0.04700854700854701,0.2564102564102564
Aaron Holiday,2019,1958606.0,0.0,22.0,0.401,127.0,0.1035548686244204,0.13446676970633695,0.45440494590417313
