player,season,nominal,real
A.C. Green,1990-91,1750000.0,3473015.0
A.C. Green,1991-92,1750000.0,3317240.0
A.C. Green,1992-93,1750000.0,3217865.0
A.C. Green,1993-94,1885000.0,3365286.0
A.C. Green,1994-95,6472600.0,11274438.0
A.C. Green,1995-96,6473000.0,10942426.0
A.C. Green,1996-97,4851000.0,7980684.0
A.C. Green,1997-98,5095088.0,8194001.0
A.C. Green,1998-99,5125088.0,8105719.0
A.C. Green,1999-00,1700000.0,2636912.0
A.C. Green,2000-01,2250000.0,3364520.0
A.J. Bramlett,1999-00,118974.0,184543.0
A.J. English,1990-91,275000.0,545759.0
A.J. English,1991-92,325000.0,616059.0
A.J. English,1992-93,406000.0,746544.0
A.J. English,1993-94,300000.0,535588.0
A.J. Wynder,1990-91,30000.0,59537.0
A.J. Wynder,1991-92,130000.0,246423.0
A.J. Wynder,1992-93,140000.0,257429.0
AJ Guyton,2000-01,316969.0,473977.0
AJ Guyton,2001-02,465850.0,674689.0
AJ Hammons,2016-17,650000.0,695251.0
AJ Hammons,2017-18,1312611.0,1381425.0
AJ Hammons,2020-21,350087.0,350087.0
AJ Price,2009-10,457588.0,546910.0
AJ Price,2010-11,762195.0,901482.0
AJ Price,2011-12,854389.0,975797.0
AJ Price,2012-13,885120.0,994349.0
AJ Price,2013-14,947907.0,1046524.0
AJ Price,2014-15,493917.0,534230.0
Aaron Brooks,2007-08,972720.0,1203560.0
Aaron Brooks,2008-09,1045560.0,1231827.0
Aaron Brooks,2009-10,1118520.0,1336858.0
Aaron Brooks,2010-11,2016692.0,2385232.0
Aaron Brooks,2012-13,5750000.0,6459585.0
Aaron Brooks,2013-14,1027424.0,1134313.0
Aaron Brooks,2014-15,915243.0,989946.0
Aaron Brooks,2015-16,2250000.0,2430640.0
Aaron Brooks,2016-17,2700000.0,2887966.0
Aaron Brooks,2017-18,2116955.0,2227938.0
Aaron Gordon,2014-15,3992040.0,4317877.0
Aaron Gordon,2015-16,4171680.0,4506602.0
Aaron Gordon,2016-17,4351320.0,4654246.0
Aaron Gordon,2017-18,5504419.0,5792993.0
Aaron Gordon,2018-19,21590909.0,22088549.0
Aaron Gordon,2019-20,19863636.0,19991902.0
Aaron Gordon,2020-21,18136364.0,18136364.0
Aaron Gordon,2021-22,16409091.0,
Aaron Gordon,2022-23,19690909.0,
Aaron Gordon,2023-24,21266182.0,
Aaron Gordon,2024-25,22841455.0,
Aaron Gordon,2025-26,22841455.0,
Aaron Gray,2007-08,427163.0,528535.0
Aaron Gray,2008-09,711517.0,838274.0
Aaron Gray,2009-10,1000497.0,1195797.0
Aaron Gray,2010-11,1028840.0,1216855.0
Aaron Gray,2011-12,2500000.0,2855248.0
Aaron Gray,2013-14,2612500.0,2884296.0
Aaron Gray,2014-15,1227985.0,1328215.0
Aaron Gray,2015-16,1356146.0,1465023.0
Aaron Harrison,2015-16,525093.0,567249.0
Aaron Harrison,2016-17,365289.0,390719.0
Aaron Harrison,2017-18,174570.0,183721.0
Aaron Henry,2021-22,462629.0,
Aaron Henry,2022-23,1576305.0,
Aaron Holiday,2018-19,1914480.0,1958606.0
Aaron Holiday,2019-20,2239200.0,2253659.0
Aaron Holiday,2020-21,2345640.0,2345640.0
Aaron Holiday,2021-22,3980551.0,
Aaron Holiday,2022-23,5791701.0,
Aaron Jackson,2017-18,46079.0,48494.0
Aaron McKie,1994-95,650000.0,1132216.0
Aaron McKie,1995-96,845000.0,1428448.0
Aaron McKie,1996-97,1040000.0,1710969.0
Aaron McKie,1997-98,1235000.0,1986146.0
Aaron McKie,1998-99,1430000.0,2261654.0
Aaron McKie,1999-00,1624000.0,2519027.0
Aaron McKie,2000-01,1818000.0,2718532.0
Aaron McKie,2001-02,4000000.0,5793191.0
Aaron McKie,2002-03,4500000.0,6448507.0
Aaron McKie,2003-04,5000000.0,7016793.0
Aaron McKie,2004-05,5500000.0,7474346.0
Aaron McKie,2005-06,8500000.0,11266192.0
Aaron McKie,2006-07,8070874.0,10254543.0
Aaron McKie,2007-08,7750000.0,9589189.0
Aaron Miles,2005-06,155614.0,206256.0
Aaron Nesmith,2020-21,3458400.0,3458400.0
Aaron Nesmith,2021-22,3631200.0,
Aaron Nesmith,2022-23,3804360.0,
Aaron Nesmith,2023-24,5634257.0,
Aaron Nesmith,2024-25,7837251.0,
Aaron Swinson,1994-95,102424.0,178409.0
Aaron Wiggins,2021-22,462629.0,
Aaron Wiggins,2022-23,1576305.0,
Aaron Williams,1994-95,150000.0,261280.0
Aaron Williams,1996-97,169000.0,278032.0
Aaron Williams,1997-98,500000.0,804107.0
Aaron Williams,1998-99,575000.0,909406.0
Aaron Williams,1999-00,1100000.0,1706237.0
Aaron Williams,2000-01,2250000.0,3364520.0
Aaron Williams,2001-02,2475000.0,3584536.0
Aaron Williams,2002-03,2700000.0,3869104.0
Aaron Williams,2003-04,2925000.0,4104824.0
Aaron Williams,2004-05,3790257.0,5150853.0
Aaron Williams,2005-06,3375000.0,4473341.0
Aaron Williams,2006-07,1750000.0,2223483.0
Aaron Williams,2007-08,1890000.0,2338524.0
Abdel Nader,2017-18,1167333.0,1228531.0
Abdel Nader,2018-19,1378242.0,1410008.0
Abdel Nader,2019-20,1618520.0,1628971.0
Abdel Nader,2020-21,1752950.0,1752950.0
Abdel Nader,2021-22,2000000.0,
Abdel Nader,2022-23,2160000.0,
Acie Earl,1993-94,650000.0,1160443.0
Acie Earl,1994-95,845000.0,1471881.0
Acie Earl,1995-96,1040000.0,1758091.0
Acie Earl,1996-97,1235000.0,2031775.0
Acie Earl,1997-98,1430000.0,2299748.0
Acie Law,2007-08,1927080.0,2384404.0
Acie Law,2008-09,2071680.0,2440750.0
Acie Law,2009-10,2216160.0,2648761.0
Acie Law,2010-11,859087.0,1016080.0
Adam Haluska,2007-08,427163.0,528535.0
Adam Harrington,2002-03,140636.0,201531.0
Adam Keefe,1992-93,1000000.0,1838780.0
Adam Keefe,1993-94,1200000.0,2142357.0
Adam Keefe,1994-95,1500000.0,2612807.0
Adam Keefe,1995-96,1650000.0,2789279.0
Adam Keefe,1996-97,1950000.0,3208067.0
Adam Keefe,1997-98,2300000.0,3698896.0
Adam Keefe,1998-99,2650000.0,4191178.0
Adam Keefe,1999-00,3000000.0,4653375.0
Adam Keefe,2000-01,3390000.0,5069210.0
Adam Mokoka,2019-20,79568.0,80081.0
Adam Mokoka,2020-21,449115.0,449115.0
Adam Morrison,2006-07,3616680.0,4595215.0
Adam Morrison,2007-08,3887880.0,4810531.0
Adam Morrison,2008-09,4159200.0,4900163.0
Adam Morrison,2009-10,5257229.0,6283457.0
Ademola Okulaja,2000-01,316969.0,473977.0
Admiral Schofield,2019-20,1000000.0,1006457.0
Admiral Schofield,2020-21,1517981.0,1517981.0
Admiral Schofield,2021-22,300000.0,
Adonal Foyle,1997-98,1495000.0,2404282.0
Adonal Foyle,1998-99,1701000.0,2690261.0
Adonal Foyle,1999-00,1922520.0,2982069.0
Adonal Foyle,2000-01,3580000.0,5353325.0
Adonal Foyle,2001-02,4400000.0,6372510.0
Adonal Foyle,2002-03,4400000.0,6305207.0
Adonal Foyle,2003-04,4400000.0,6174778.0
Adonal Foyle,2004-05,6500000.0,8833318.0
Adonal Foyle,2005-06,7312500.0,9692239.0
Adonal Foyle,2006-07,8125000.0,10323315.0
Adonal Foyle,2007-08,10157090.0,12567516.0
Adonal Foyle,2008-09,8062275.0,9498572.0
Adonal Foyle,2009-10,1306455.0,1561479.0
Adonis Jordan,1998-99,350000.0,553551.0
Adreian Payne,2014-15,1855320.0,2006754.0
Adreian Payne,2015-16,1938840.0,2094499.0
Adreian Payne,2016-17,2022240.0,2163022.0
Adreian Payne,2017-18,77250.0,81299.0
Adrian Caldwell,1990-91,275000.0,545759.0
Adrian Caldwell,1994-95,150000.0,261280.0
Adrian Caldwell,1995-96,225000.0,380356.0
Adrian Caldwell,1997-98,292250.0,470000.0
Adrian Caldwell,1999-00,50000.0,77556.0
Adrian Custis,1997-98,242000.0,389188.0
